Date,M2MS,FedFundsRate,CPI
1991-08-01,3355.0,5.6612903225806500,4.413788018
1991-09-01,3354.9,5.4470000000000000,4.465741661
1991-10-01,3360.1,5.2096774193548400,4.310597235
1991-11-01,3365.5,4.8113333333333300,4.370003221
1991-12-01,3372.2,4.4341935483871000,4.366592403
1992-01-01,3381.2,4.0341935483871000,4.069913371
1992-02-01,3400.0,4.0575862068965500,3.878184354
1992-03-01,3403.9,3.9832258064516100,3.990512759
1992-04-01,3399.7,3.7346666666666700,4.077543119
1992-05-01,3398.6,3.8232258064516100,3.937860894
1992-06-01,3393.4,3.7626666666666700,3.875841001
1992-07-01,3393.9,3.2535483870967700,3.785344226
1992-08-01,3398.8,3.3032258064516100,3.644349796
1992-09-01,3410.3,3.2196666666666700,3.363566041
1992-10-01,3423.8,3.0990322580645200,3.654950596
1992-11-01,3426.5,3.0876666666666700,3.649402976
1992-12-01,3424.7,2.9196774193548400,3.497528562
1993-01-01,3419.1,3.0241935483871000,3.547354737
1993-02-01,3414.5,3.0271428571428600,3.580667722
1993-03-01,3411.7,3.0741935483871000,3.353160609
1993-04-01,3411.3,2.9576666666666700,3.422176699
1993-05-01,3436.9,2.9961290322580600,3.551431283
1993-06-01,3442.4,3.0380000000000000,3.583428873
1993-07-01,3442.0,3.0554838709677400,3.437046316
1993-08-01,3445.7,3.0322580645161300,3.522739086
1993-09-01,3452.2,3.0863333333333300,3.656038681
1993-10-01,3456.7,2.9925806451612900,3.433321443
1993-11-01,3470.1,3.0180000000000000,3.445125507
1993-12-01,3474.5,2.9551612903225800,3.557822725
1994-01-01,3474.9,3.0506451612903200,3.384372964
1994-02-01,3475.7,3.2450000000000000,3.424654259
1994-03-01,3480.1,3.3358064516129000,3.578833286
1994-04-01,3481.3,3.5550000000000000,3.364064138
1994-05-01,3490.8,4.0109677419354800,3.238103819
1994-06-01,3479.5,4.2456666666666700,3.207540833
1994-07-01,3488.2,4.2561290322580600,3.245680943
1994-08-01,3485.7,4.4745161290322600,3.318864731
1994-09-01,3486.1,4.7336666666666700,3.267212367
1994-10-01,3484.3,4.7600000000000000,3.178740091
1994-11-01,3487.2,5.2946666666666700,3.142092625
1994-12-01,3486.4,5.4532258064516100,2.915659975
1995-01-01,3492.4,5.5274193548387100,3.159681044
1995-02-01,3489.9,5.9153571428571400,3.139699974
1995-03-01,3491.1,5.9764516129032300,3.184482491
1995-04-01,3499.2,6.0473333333333300,3.322916117
1995-05-01,3524.2,6.0090322580645200,3.367477772
1995-06-01,3548.9,6.0013333333333300,3.34707431
1995-07-01,3567.4,5.8519354838709700,3.402097044
1995-08-01,3589.0,5.7351612903225800,3.255560049
1995-09-01,3602.1,5.8046666666666700,3.368207809
1995-10-01,3613.4,5.7561290322580600,3.479287466
1995-11-01,3619.9,5.8030000000000000,3.394879542
1995-12-01,3629.5,5.6019354838709700,3.397750888
1996-01-01,3647.9,5.5648387096774200,3.294296705
1996-02-01,3661.8,5.2244827586206900,3.278044833
1996-03-01,3686.9,5.3141935483871000,3.15123296
1996-04-01,3697.7,5.2236666666666700,3.021419042
1996-05-01,3709.6,5.2351612903225800,3.065009249
1996-06-01,3722.5,5.2733333333333300,3.066510398
1996-07-01,3737.1,5.3964516129032300,3.103134864
1996-08-01,3744.0,5.2229032258064500,3.096243134
1996-09-01,3753.4,5.2990000000000000,3.076709572
1996-10-01,3772.8,5.2380645161290300,2.957328624
1996-11-01,3795.1,5.3110000000000000,2.99348831
1996-12-01,3818.6,5.2945161290322600,3.066760867
1997-01-01,3834.6,5.2545161290322600,2.924852958
1997-02-01,3846.3,5.1857142857142900,2.815492049
1997-03-01,3861.2,5.3861290322580600,2.868448161
1997-04-01,3877.0,5.5073333333333300,2.924881516
1997-05-01,3889.2,5.5041935483871000,2.883239208
1997-06-01,3906.0,5.5556666666666700,2.841507556
1997-07-01,3923.9,5.5212903225806500,2.764311367
1997-08-01,3957.4,5.5422580645161300,2.668660701
1997-09-01,3973.1,5.5406666666666700,2.558893145
1997-10-01,3992.3,5.4961290322580600,2.633884037
1997-11-01,4014.8,5.5216666666666700,2.564888202
1997-12-01,4032.9,5.5048387096774200,2.636585632
1998-01-01,4056.2,5.5574193548387100,2.686312997
1998-02-01,4088.9,5.5057142857142900,2.70235568
1998-03-01,4114.3,5.4935483870967700,2.682792941
1998-04-01,4140.2,5.4453333333333300,2.650550927
1998-05-01,4164.4,5.4887096774193500,2.621199946
1998-06-01,4184.1,5.5586666666666700,2.610692088
1998-07-01,4203.8,5.5358064516129000,2.613395599
1998-08-01,4228.7,5.5467741935483900,2.643666793
1998-09-01,4267.6,5.5116666666666700,2.603431515
1998-10-01,4307.7,5.0709677419354800,2.54435291
1998-11-01,4346.4,4.8260000000000000,2.531446927
1998-12-01,4375.2,4.6835483870967700,2.446189532
1999-01-01,4402.6,4.6325806451612900,2.3907588
1999-02-01,4425.3,4.7646428571428600,2.3238316
1999-03-01,4432.1,4.8093548387096800,2.2464619
1999-04-01,4460.7,4.7363333333333300,2.2358613
1999-05-01,4485.3,4.7422580645161300,2.1625267
1999-06-01,4507.2,4.7646666666666700,2.0812547
1999-07-01,4534.5,4.9941935483871000,2.1244533
1999-08-01,4551.7,5.0722580645161300,2.1074137
1999-09-01,4567.7,5.2243333333333300,2.0832919
1999-10-01,4591.5,5.2000000000000000,2.0639533
1999-11-01,4610.5,5.4200000000000000,2.1623251
1999-12-01,4638.0,5.2958064516129000,2.1818508
2000-01-01,4666.2,5.4483870967741900,2.350195
2000-02-01,4679.4,5.7348275862069000,2.3950909
2000-03-01,4710.2,5.8535483870967700,2.4989589
2000-04-01,4766.1,6.0196666666666700,2.4247194
2000-05-01,4753.9,6.2680645161290300,2.5736327
2000-06-01,4771.8,6.5283333333333300,2.7153642
2000-07-01,4789.4,6.5445161290322600,2.7240005
2000-08-01,4817.5,6.4967741935483900,2.8853852
2000-09-01,4853.2,6.5170000000000000,2.908796
2000-10-01,4869.2,6.5093548387096800,2.9310365
2000-11-01,4880.3,6.5143333333333300,2.8816134
2000-12-01,4925.0,6.4022580645161300,2.9838403
2001-01-01,4975.7,5.9758064516129000,2.8896431
2001-02-01,5014.1,5.4942857142857100,2.9893325
2001-03-01,5072.0,5.3109677419354800,2.9711853
2001-04-01,5135.9,4.8020000000000000,3.1007641
2001-05-01,5133.0,4.2122580645161300,3.0843327
2001-06-01,5173.5,3.9696666666666700,3.2118098
2001-07-01,5203.4,3.7690322580645200,3.2190557
2001-08-01,5237.2,3.6525806451612900,3.2635089
2001-09-01,5348.4,3.0690000000000000,3.3990087
2001-10-01,5337.1,2.4851612903225800,3.4934371
2001-11-01,5380.8,2.0870000000000000,3.6122717
2001-12-01,5433.8,1.8177419354838700,3.5754587
2002-01-01,5454.1,1.7296774193548400,3.5684398
2002-02-01,5483.4,1.7396428571428600,3.5387817
2002-03-01,5495.2,1.7300000000000000,3.480145
2002-04-01,5495.4,1.7530000000000000,3.4775061
2002-05-01,5521.5,1.7512903225806500,3.4632677
2002-06-01,5546.5,1.7503333333333300,3.2512149
2002-07-01,5589.1,1.7290322580645200,3.2740984
2002-08-01,5631.6,1.7432258064516100,3.1567969
2002-09-01,5656.0,1.7506666666666700,3.0374651
2002-10-01,5700.4,1.7548387096774200,2.9477485
2002-11-01,5750.6,1.3360000000000000,2.8341831
2002-12-01,5772.0,1.2383870967741900,2.8018315
2003-01-01,5804.6,1.2351612903225800,2.7875531
2003-02-01,5840.7,1.2621428571428600,2.7046594
2003-03-01,5861.4,1.2529032258064500,2.6277872
2003-04-01,5898.8,1.2580000000000000,2.4593491
2003-05-01,5959.3,1.2590322580645200,2.3483407
2003-06-01,5996.0,1.2226666666666700,2.27155
2003-07-01,6042.7,1.01129032258065000000,2.237208
2003-08-01,6100.8,1.02903225806452000000,2.1655338
2003-09-01,6072.8,1.01000000000000000000,2.1842475
2003-10-01,6063.6,1.01000000000000000000,2.1611133
2003-11-01,6069.1,0.99600000000000000000,2.0365931
2003-12-01,6067.3,0.98419354838709700000,1.976213
2004-01-01,6075.5,0.99709677419354800000,1.9607229
2004-02-01,6114.3,1.00724137931034000000,2.0481367
2004-03-01,6150.1,1.00161290322581000000,2.1370611
2004-04-01,6191.2,1.00400000000000000000,2.2577613
2004-05-01,6268.1,1.00451612903226000000,2.2378638
2004-06-01,6270.5,1.02566666666667000000,2.3794884
2004-07-01,6284.3,1.2635483870967700,2.2638524
2004-08-01,6310.6,1.4293548387096800,2.2577292
2004-09-01,6345.3,1.6050000000000000,2.240201
2004-10-01,6373.3,1.7609677419354800,2.2372194
2004-11-01,6399.8,1.9320000000000000,2.3012131
2004-12-01,6418.3,2.1561290322580600,2.3138859
2005-01-01,6424.5,2.2793548387096800,2.3158903
2005-02-01,6432.8,2.5017857142857100,2.2862449
2005-03-01,6441.9,2.6290322580645200,2.2461526
2005-04-01,6455.9,2.7850000000000000,2.2397223
2005-05-01,6473.3,3.0025806451612900,2.3579552
2005-06-01,6505.8,3.0356666666666700,2.1993552
2005-07-01,6537.4,3.2625806451612900,2.3010794
2005-08-01,6570.2,3.4996774193548400,2.2644059
2005-09-01,6604.3,3.6230000000000000,2.3340762
2005-10-01,6638.6,3.7793548387096800,2.3253024
2005-11-01,6655.0,3.9990000000000000,2.4316658
2005-12-01,6681.9,4.1570967741935500,2.4690335
2006-01-01,6724.3,4.2851612903225800,2.4510191
2006-02-01,6748.6,4.4914285714285700,2.4992554
2006-03-01,6762.9,4.5893548387096800,2.581219
2006-04-01,6800.1,4.7903333333333300,2.6806926
2006-05-01,6806.9,4.9403225806451600,2.7839595
2006-06-01,6844.9,4.9910000000000000,3.0344298
2006-07-01,6886.3,5.2351612903225800,3.0939988
2006-08-01,6917.1,5.2464516129032300,3.2251144
2006-09-01,6944.2,5.2546666666666700,3.212012
2006-10-01,6993.3,5.2451612903225800,3.2911246
2006-11-01,7028.4,5.2456666666666700,3.1482614
2006-12-01,7071.6,5.2380645161290300,3.1241583
2007-01-01,7109.6,5.2483870967741900,3.1457342
2007-02-01,7125.3,5.2589285714285700,3.161558
2007-03-01,7159.1,5.2567741935483900,3.1090014
2007-04-01,7231.3,5.2496666666666700,2.9667028
2007-05-01,7245.4,5.2535483870967700,2.783324
2007-06-01,7278.6,5.2540000000000000,2.6305791
2007-07-01,7309.0,5.2583870967741900,2.5346411
2007-08-01,7385.1,5.0222580645161300,2.4685402
2007-09-01,7403.2,4.9380000000000000,2.4838823
2007-10-01,7417.2,4.7554838709677400,2.5033248
2007-11-01,7441.8,4.4866666666666700,2.6563697
2007-12-01,7471.6,4.2445161290322600,2.7127336
2008-01-01,7505.5,3.9403225806451600,2.7470404
2008-02-01,7590.6,2.9806896551724100,2.6165653
2008-03-01,7656.2,2.6103225806451600,2.6887664
2008-04-01,7699.2,2.2783333333333300,2.7251103
2008-05-01,7711.2,1.9783870967741900,2.7937419
2008-06-01,7728.9,2.0010000000000000,2.9376962
2008-07-01,7775.4,2.0096774193548400,3.0142542
2008-08-01,7790.2,1.9964516129032300,3.0845059
2008-09-01,7859.5,1.8116666666666700,3.0766785
2008-10-01,7965.3,0.96935483870967700000,2.9291949
2008-11-01,8015.8,0.38766666666666700000,2.7864624
